name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
# Add your ships here. Couple of ships left commented out as reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See https://starsector.fandom.com/wiki/Ship_Data_CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Onslaught,onslaught,Battleship,Low Tech,burndrive,28,20000,1750,17000,15000,600,360,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,,"rare_bp, merc",,,,0.4,2,4,,500
#,module_bastion_pd1,PD Bastion 1,,flarelauncher_active,1,3000,500,1250,3500,140,44,0,0,0,0,10,10,240,FRONT,,170,0.4,0.8,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,0.5,2,2,,2050
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AUXILIARY CRAFT,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FRIGATE SHIP NAME,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
(TERRAN) Nova,terran_nova,Surveyor,Terran Tech,surveyor_sensors,15,5000,2500,12000,10000,100,100,1,120,30,50,25,25,1700,OMNI,,360,0.6,0.8,,,80,100,70,25,0.25,15,8,40600,5,5,300,0.25,4,2,,,,,,,,"no_autofit, terran_bp, terran",,,,0.7,3,6,,888
(TERRAN) Saber,terran_saber,Fast Frigate,Terran Tech,impulse_overload,35,7000,2700,13500,13500,110,110,1,130,30,40,30,30,1800,OMNI,,360,0.6,0.8,,,75,200,100,25,0.4,15,8,58900,10,20,425,0.1,10,3,,,,,,,,"no_autofit, terran_bp, terran",,,,0.4,2,4,,500
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#DESTROYER SHIP NAME,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(TERRAN) Miranda,terran_miranda,Light Cruiser,Terran Tech,field_repairs,35,8000,1700,13000,8000,100,120,2,110,20,30,18,18,2300,OMNI,,360,0.8,1,,,100,300,300,110,1.75,20,6,58000,12,35,700,0.25,10,5,,,,,,,,"no_autofit, terran_bp, terran",,,,0.8,4,12,,505
(TERRAN) Defiant,terran_defiant,Escort,Terran Tech,impulse_diversion,40,4000,3500,13500,8000,125,175,,150,30,45,35,35,900,OMNI,,360,0.4,0.7,,,15,35,50,15,0.25,10,8,104840,10,40,1200,0.1,12,1,,,,,,,,"no_autofit, terran_bp, terran",,,,0.3,2,5,,505
(TERRAN) Defiant II,terran_defiant_assault,Assault Escort,Terran Tech,impulse_diversion,40,4000,3500,13500,8000,125,190,,150,30,45,35,35,900,OMNI,,360,0.4,0.7,,,15,35,50,15,0.25,10,8,104840,10,40,1200,0.1,12,1,,,,,,,,"no_autofit, terran_bp, terran",,,,0.3,2,5,,505
(TERRAN) BOP,terran_BOP,Escort,Terran Tech,impulse_diversion,40,4000,3500,13500,8000,125,190,,150,30,45,35,35,900,OMNI,,360,0.4,0.7,,,15,35,50,15,0.25,10,8,104840,10,40,1200,0.1,12,1,,,,,,,,"no_autofit, terran_bp, terran",,,,0.3,2,5,,505
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#CRUISER SHIP NAME,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
