id,type,text1,text2,text3,text4,notes,,,
# Types: WEAPON,SHIP,RESOURCE,CUSTOM,ACTION_TOOLTIP,ASTEROID,PLANET,SHIP_SYSTEM,FACTION,TERRAIN
#astral,SHIP,Text goes here,,,,,,,
#supplies,RESOURCE,"Assorted supplies required by ships and crew, ranging from rations and uniforms to munitions, spare parts, microfab feedstock, and prefab components.",,,,,,,
#drone_station_lt,SHIP_SYSTEM,A ring of defense drones around the station.,,A ring of defense drones around the stattion.,,,,,
#barren-bombarded,PLANET,"A lifeless rocky world, the battered surface tells an aeons-long story of intermittent meteor bombardment. What atmosphere there is clings to the scarred crust in near-vacuum. There is no significant magnetic field or tectonic activity. Deep regolith prevails, crossed by lava channels and spotted by ancient lava seas formed by especially large impacts.",,"The mottled curve of the planet turns below you. The lighter regolith is pocked with ancient impact craters, the darker lava seas less densely marked but riven nonetheless by evidence of their own cataclysmic creation.",,,,,
#luddic_church,FACTION,"Inspired by the martyrdom of a figure known as 'Ludd' during the fall of the Domain, the Church of Galactic Redemption is a hierarchical church with highly syncretic dogma formed from a core of Abrahamic texts and apocrypha along with Domain-era reaction against perceived corruption, depravity, hedonism, and transhuman abomination. The Church offers a vision of life lived more simply, of agrarian virtue and humanistic values and prayer against the violence and technological alienation that's torn the Sector apart in the years since the Fall.",,,,,,,
#slipstream,TERRAIN,"A flow in hyperspace, akin to currents navigated by ancient seafarers back on Old Earth.",,,,,,,
,,,,,,,,,
,,,,,,,,,
#id,#type,#text1,text2,text3,text4,notes,,,
,,,,,,,,,
terran_empire,FACTION,"The United Federation of Planets is a technologically advanced, multi-world polity built on cooperation, scientific progress, and collective defense. Governed by civilian institutions and protected by Starfleet, the Federation emphasizes exploration, research, and stability over conquest.
Earth is the political and cultural heart of the Federation and its most heavily defended system, protected by layered orbital defenses and elite Starfleet forces. Federation space produces unique population and research?focused commodities—Civilians, Cadets, Starfleet Officers, Researchers—alongside strategically vital Dilithium Ore and refined Dilithium. Starfleet doctrine favors beam weapon focused ships designed for sustained, precise combat and coordinated fleet operations.",,,,,,,
,,,,,,,,,
,,,,,,,,,
#Hull id - FRIGATE,#type,#text1,,,,,,,
