name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,c/s,c/f,f/s,f/f,crew/s,crew/f,hints,tags,logistics n/a reason,codex variant id,rarity,breakProb,minPieces,maxPieces,travel drive,number
# Add your ships here. Couple of ships left commented out as reference.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# See https://starsector.fandom.com/wiki/Ship_Data_CSV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Onslaught,onslaught,Battleship,Low Tech,burndrive,28,20000,1750,17000,15000,600,360,,25,10,10,4,4,3500,FRONT,,180,0.4,1,,,750,1500,300,400,15,27,7,350000,3,12,720,0.25,40,40,,,,,,,,"rare_bp, merc",,,,0.4,2,4,,500
#,module_bastion_pd1,PD Bastion 1,,flarelauncher_active,1,3000,500,1250,3500,140,44,0,0,0,0,10,10,240,FRONT,,170,0.4,0.8,,,0,0,0,0,1,0,,500000,,1,,,0,0,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,0.5,2,2,,2050
Federation Shields,fed_shield,Shield Emitter,Federation Tech,,,10000,10000,1000,1000,100,0,0,1000,1000,1000,1000,1000,1,FRONT,,90,0.5,0.5,,,0,0,0,0,0,0,0,500000,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,0.7,4,7,,888
Warp Core,warp_core,Warp Reactor,Federation Tech,,,750,50,50000,50000,500,0,0,0,0,0,30,30,1,NONE,,360,0.01,0.01,,,0,0,0,0,0,0,0,1250500,,,,,,,,,,,,,"UNBOARDABLE, HIDE_IN_CODEX",,,,,0,0,0,,888
Deployable Shield,fed_shieldDeploymentPlatform,Shield Platform,,,1,3000,300,20000,20000,100,24,0,0,0,0,0,0,500,OMNI,,360,0.8,0.7,,,0,0,0,0,0,0,0,75000,1,1,500,0.01,1,1,,,,,,,,"no_autofit, ufp",,,,0,1,2,,888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#AUXILIARY CRAFT,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
(FED) Shuttle Type 6,fed_shuttle_type6,Shuttle,Federation Tech,flarelauncher_active,1,640,250,2500,1500,40,50,,120,30,40,25,25,100,OMNI,,360,0.8,0.8,,,1,5,5,10,0.25,5,5,7000,1,1,200,0.1,1,1,,,,,,,,"no_autofit, ufp",,,,0,1,2,,888
(FED) Shuttle Type 9,fed_shuttle_type9,Shuttle,Federation Tech,impulse_diversion,1,700,300,2500,1500,40,50,,120,30,40,25,25,100,OMNI,,360,0.8,0.8,,,1,5,5,10,0.25,5,5,7000,1,1,200,0.1,1,1,,,,,,,,"no_autofit, ufp",,,,0,1,2,,888
(FED) Shuttle Type 11,fed_shuttle_type11,Shuttle,Federation Tech,impulse_diversion,1,750,350,2500,1500,40,50,,120,30,40,25,25,100,OMNI,,360,0.8,0.8,,,2,8,15,15,0.25,10,5,7000,1,1,200,0.1,1,1,,,,,,,,"no_autofit, ufp",,,,0,1,2,,888
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#FRIGATE SHIP NAME,#ID,#designation,#tech,#system id,#fleet pts,#hitpoints,#armor rating,#max flux,#8/6/5/4%,#flux dissipation,#ordnance points,#fighter bays,#max speed,#acceleration,#deceleration,#max turn rate,#turn acceleration,#mass,#shield type,#defense id,#shield arc,#shield upkeep,#shield efficiency,#phase cost,#phase upkeep,#min crew,#max crew,#cargo,#fuel,#fuel/ly,#range,#max burn,#base value,#cr %/day,#CR to deploy,#peak CR sec,#CR loss/sec,#supplies/rec,#supplies/mo,#c/s,#c/f,#f/s,#f/f,#crew/s,#crew/f,#hints,#tags,#logistics n/a reason,#codex variant id,#rarity,#breakProb,#minPieces,#maxPieces,#travel drive,#number
(FED) Antares,fed_freighter,Freighter,Federation Tech,flarelauncher_active,7,3200,1000,5800,10000,90,80,1,100,20,50,20,20,1300,OMNI,,360,0.8,1.3,,,5,30,900,375,1,25,5,27500,1,1,120,0.75,10,1,,,,,,,,"no_autofit, ufp_bp, ufp",,,,1,4,10,,888
(FED) Venture,fed_ventureScout,Scout ,Federation Tech,impulse_diversion,3,1500,400,3200,3200,70,40,,130,30,40,35,35,300,OMNI,,360,0.9,0.75,,,1,5,10,4,0.25,2,6,12750,8,15,200,0.25,1,1,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.1,2,4,,888
(FED) Centaur,fed_centaur,Light Cruiser,Federation Tech,self_destruct,20,6000,1700,10000,10000,110,110,1,120,22,32,25,25,2000,OMNI,,360,0.8,1.05,,,70,200,100,75,2,10,6,40600,7,10,300,0.25,6,4,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.7,3,6,,888
(FED) Nova,fed_nova,Surveyor,Federation Tech,surveyor_sensors,15,5000,2500,12000,10000,100,100,1,120,30,50,25,25,1700,OMNI,,360,0.6,0.8,,,80,100,70,25,0.25,15,8,40600,5,5,300,0.25,4,2,,,,,,,,"no_autofit, ufp_bp, ufp",,,,0.7,3,6,,888
