name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sModDesc,sprite
Shield Mount,shieldMount,1,,Federation Tech,"shields, defensive, ufp",Shields,800,,,,0,0,0,0,UFP.data.hullmods.ShieldMount,"Starships requite specialized systems to implement shield generators. To simply the naming scheme of the mechanims involved, we're simply calling it a shield mount in this case. If a shield mount is installed on a ship, then the ship needs a valid shield generator installed, otherwise the ship will not have shields. There is no fallback without a shield generator installed. ","Enables passive and conditional shield regeneration through power routing, venting, and adaptive recovery systems.",,graphics/hullmods/shieldRegen.png
Federation Shield,federationShields,3,,Federation Tech,"shields, defensive, ufp",Shields,52000,,,,2,4,6,8,UFP.data.hullmods.FederationShields,"Standard shields used aboard Federation vessels. Oftentimes, these shields are built into the starship. When installed, the shields make a ship different from standard Starsector type shields. Federation Shields use hitpoints rather than flux. Second, there are many vanilla weapons that are rendered ineffective against Federation shields, due to the advanced nature of Federation shields. That does not mean that Federation Shields are wholly impervious. There are still many weapons that can do chip or even heavy damage to Federation shields. ",Federation style shielding. Hitpoints are used instead of flux. Shields can recovery with the proper system installed.,,graphics/hullmods/bubbleShield_ICON.png
Federation Shield Regeneration,federationShieldRecovery,1,,Federation Tech,"shields, defensive, ufp",Shields,5660,,,,0,0,0,0,UFP.data.hullmods.FederationShieldRecovery,"An advanced Federation defensive architecture that enables sustained regeneration of shield integrity during combat. This hull modification integrates reinforced shield emitters with adaptive power routing and automated recovery logic, allowing shields to gradually reconstitute lost strength under a variety of conditions.

Shield recovery occurs through multiple mechanisms: steady passive regeneration while shields are active, accelerated recovery when shields are lowered, and additional restoration through controlled power diversion or system venting. Recovery is suspended if the shield grid is critically disabled, preventing unsafe overloads. Designed for prolonged engagements, this hullmod emphasizes resilience and efficient energy management over rapid burst defense.","Enables passive and conditional shield regeneration through power routing, venting, and adaptive recovery systems.",,graphics/hullmods/shieldRegen.png
Luddite Shields,ludditeShields,1,,Col Tech,"shields, defensive, coalitionTech",Shields,52000,,,,1,1,1,1,UFP.data.hullmods.LudditeShields,"Luddites wanted Coalition type shields, but were adamant about havin the most advanced shields available. Therefore, a specialized armored variant that is deployable was invented. ",Federation style shielding. Hitpoints are used instead of flux. Shields can recovery with the proper system installed.,,graphics/hullmods/bubbleShield_ICON.png
Coalition Shields,colTechShields,2,,Col Tech,"shields, defensive, coalitionTech",Shields,84000,,,,1,2,3,4,UFP.data.hullmods.ColTechShields,"These are Coalition shields made based on observations of Federation shields. Though not quite as powerful, they are rather effective shields. They're not cheap either. ",Federation style shielding. Hitpoints are used instead of flux. Shields can recovery with the proper system installed.,,graphics/hullmods/bubbleShield_ICON.png
,,,,,,,,,,,,,,,,,,,
Flux Converter Capcitor,eps_conversionCapacitor,,,,"special, ufp",Vent,4200,,,,0,0,0,0,UFP.data.hullmods.FluxConversionCapacitor,"A Federation power?management upgrade that optimizes the conversion of excess reactor output during venting cycles. When installed alongside compatible systems, the capacitor dynamically redirects dissipated flux into secondary power channels, improving recovery efficiency during vent operations. On ships equipped with advanced energy management architectures, this process accelerates energy recharge while venting; on conventional designs, it recalibrates vent performance based on current load conditions. Flux Conversion Capacitor enhances sustained combat readiness by ensuring venting time is used as productively as possible.",Improves power and energy recovery while venting when paired with compatible systems.,,graphics/hullmods/fluxCapacitor.png
EPS Conduits,power_delivery,,,,"special, ufp",Power Delivery ,4200,,,,1,2,3,4,UFP.data.hullmods.EPSConduits,"A Federation Emergency Power System distribution grid that ties propulsion and strategic drive authority directly to a validated primary reactor. EPS conduits enforce strict power?integrity rules: without an approved power core installation�or if the core has suffered catastrophic failure or ejection�the ship is unable to sustain transit operations. This modification ensures that only properly integrated Federation reactor architectures can support fleet?level maneuvering, prioritizing containment safety and system integrity over improvised power routing.",Prevents strategic movement without a validated reactor core; core failure or ejection reduces max burn to zero. ,,graphics/hullmods/EPS_conduits.png
Warp Core [Project Galaxy],galaxy_warp_core,1,,Federation Tech,"special, ufp",Warp Core,250800,,,,100,100,10,0,UFP.data.hullmods.GalaxyWarpCore,"An advanced Federation warp core variant engineered for select hulls, integrating tightly with regulated energy management systems. The Galaxy Warp Core provides stable baseline power while periodically entering brief high?output states, temporarily amplifying energy weapon effectiveness. These surges reflect controlled containment harmonics rather than sustained overdrive, rewarding steady engagement without compromising long?term stability. Designed for capital?grade platforms, this core favors reliability punctuated by moments of exceptional performance.",Provides stable energy management with occasional surges that boost energy weapon output.,,graphics/hullmods/warpCore.png
Warp Core [Small],small_warp_core,1,,Federation Tech,"special, ufp",Warp Core,25250,,,,0,4,6,0,UFP.data.hullmods.WarpCore_Small,"A compact Federation warp core intended for lighter hulls and constrained internal volumes. While fully compatible with advanced energy management systems, this core operates at reduced capacity, limiting total available power and increasing weapon energy demands on larger hulls. On cruiser?class ships, the reduced reserve prevents prolonged high?output firing and disables high?energy maneuvering surges, encouraging careful power budgeting. The Warp Core (Small) emphasizes efficiency and compactness at the expense of sustained output.","Provides limited energy reserves, increasing weapon power draw on larger hulls.",,graphics/hullmods/warpCore.png
